Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,59.7522806371985
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38972230
Afghanistan,AFG,Urban population,SP.URB.TOTL,10142913
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,103.571131386861
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Albania,ALB,Urban population,SP.URB.TOTL,1762645
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,18.2436570559099
Algeria,DZA,"Population, total",SP.POP.TOTL,43451666
Algeria,DZA,Urban population,SP.URB.TOTL,32038217
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,230.945
American Samoa,ASM,"Population, total",SP.POP.TOTL,46189
American Samoa,ASM,Urban population,SP.URB.TOTL,40255
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,165.31914893617
Andorra,AND,"Population, total",SP.POP.TOTL,77700
Andorra,AND,Urban population,SP.URB.TOTL,68311
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,26.8135766423358
Angola,AGO,"Population, total",SP.POP.TOTL,33428486
Angola,AGO,Urban population,SP.URB.TOTL,22338586
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,210.6
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92664
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,22641
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.580892611147
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Argentina,ARG,Urban population,SP.URB.TOTL,41796990
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,98.5461187214612
Armenia,ARM,"Population, total",SP.POP.TOTL,2805608
Armenia,ARM,Urban population,SP.URB.TOTL,1776315
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,592.138888888889
Aruba,ABW,"Population, total",SP.POP.TOTL,106585
Aruba,ABW,Urban population,SP.URB.TOTL,46574
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.33531231068042
Australia,AUS,"Population, total",SP.POP.TOTL,25655289
Australia,AUS,Urban population,SP.URB.TOTL,22125378
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,108.057004362579
Austria,AUT,"Population, total",SP.POP.TOTL,8916864
Austria,AUT,Urban population,SP.URB.TOTL,5238479
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,122.124736829369
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
Azerbaijan,AZE,Urban population,SP.URB.TOTL,5692217
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,40.6064935064935
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,406471
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,338367
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1882.12611464968
Bahrain,BHR,"Population, total",SP.POP.TOTL,1477469
Bahrain,BHR,Urban population,SP.URB.TOTL,1322423
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1286.17155258508
Bangladesh,BGD,"Population, total",SP.POP.TOTL,167420951
Bangladesh,BGD,Urban population,SP.URB.TOTL,63916296
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,652.774418604651
Barbados,BRB,"Population, total",SP.POP.TOTL,280693
Barbados,BRB,Urban population,SP.URB.TOTL,87551
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.211212927382
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Belarus,BLR,Urban population,SP.URB.TOTL,7455467
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,381.063540290621
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604
Belgium,BEL,Urban population,SP.URB.TOTL,11316947
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,17.3135028496274
Belize,BLZ,"Population, total",SP.POP.TOTL,394921
Belize,BLZ,Urban population,SP.URB.TOTL,181762
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,112.12418410784
Benin,BEN,"Population, total",SP.POP.TOTL,12643123
Benin,BEN,Urban population,SP.URB.TOTL,6121168
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1183.2037037037
Bermuda,BMU,"Population, total",SP.POP.TOTL,63893
Bermuda,BMU,Urban population,SP.URB.TOTL,63893
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,20.2544834819088
Bhutan,BTN,"Population, total",SP.POP.TOTL,772506
Bhutan,BTN,Urban population,SP.URB.TOTL,326894
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,11.0183347179913
Bolivia,BOL,"Population, total",SP.POP.TOTL,11936162
Bolivia,BOL,Urban population,SP.URB.TOTL,8369995
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,64.81263671875
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3318407
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1626683
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.49314841282445
Botswana,BWA,"Population, total",SP.POP.TOTL,2546402
Botswana,BWA,Urban population,SP.URB.TOTL,1804813
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.5076253807665
Brazil,BRA,"Population, total",SP.POP.TOTL,213196304
Brazil,BRA,Urban population,SP.URB.TOTL,185636418
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,206.066666666667
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30910
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,14996
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,83.8187855787476
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,441725
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,345650
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,63.8726510685335
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Bulgaria,BGR,Urban population,SP.URB.TOTL,5248079
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,78.6645687134503
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21522626
Burkina Faso,BFA,Urban population,SP.URB.TOTL,6587430
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,475.865537383178
Burundi,BDI,"Population, total",SP.POP.TOTL,12220227
Burundi,BDI,Urban population,SP.URB.TOTL,1675149
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,144.575682382134
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,582640
Cabo Verde,CPV,Urban population,SP.URB.TOTL,388341
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,92.8895309313392
Cambodia,KHM,"Population, total",SP.POP.TOTL,16396860
Cambodia,KHM,Urban population,SP.URB.TOTL,3973287
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,56.040885532356
Cameroon,CMR,"Population, total",SP.POP.TOTL,26491087
Cameroon,CMR,Urban population,SP.URB.TOTL,15248270
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.24257678524224
Canada,CAN,"Population, total",SP.POP.TOTL,38037204
Canada,CAN,Urban population,SP.URB.TOTL,31023904
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,280.4625
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,67311
